test,"TH test"
﻿guaranteedHireInvalidSalary,"Invalidate Salary Range"
﻿guaranteedHireMinSalaryPromptInfo,"Please ensure your minimum hiring budget is above {{ minSalary }}"
﻿guaranteedHireMinSalaryErrMsg,"Please ensure your minimum hiring budget is above {{ minSalary }}"
﻿faqFirstPart,"For more information about the ad types, check out the "
﻿faqMiddlePart,"FAQ section "
﻿faqLastPart,"below."
﻿noPackagesTitleFirstHalf,"The job ad types couldn't be shown right now. "
﻿noPackagesTitleLastHalf,"Contact us."
﻿saveOff,"% off"
﻿jsdb.brandedAndPremiumAd,"brandedAD+ and Premium Ad"
﻿jsdb.brandedAdPlusName,"brandedAD+"
﻿jsdb.brandedAdsPlusName,"brandedAD+"
﻿jsdb.brandedAdPlusSellingTitle,"Including Branded ad features, plus:"
﻿jsdb.brandedAdPlusSellingPointOne,"Increase brand recognition using your company logo."
﻿jsdb.brandedAdPlusSellingPointTwo,"Promote your employer  brand with 3 selling points."
﻿jsdb.brandedAdPlusSellingPointThree,"Stand out with a personalised cover image."
﻿jsdb.premiumAdSellingTitle,"Including Premium ad features, plus:"
﻿jsdb.premiumAdSellingPointOne,"30-day money back guarantee."
﻿jsdb.premiumAdSellingPointTwo,"Dedicated ad consultant."
﻿jsdb.premiumAdSellingPointThree,"Personalised job ad writing."
﻿jsdb.premiumAdSellingPointFour,"2 hour response time for queries."
﻿jsdb.selectPackageBrandedTitle,"How many brandedAD+ do you want to purchase?"
﻿jsdb.wantBuyMore,"Want to buy more?"
﻿jsdb.contactUs,"Then contact us to order a bigger package."
﻿jsdb.contactEmail,"Email: "
﻿jsdb.contactTel,"Tel: "
﻿jsdb.imageContentOne,"Show your logo on your job ad plus in job search listing and Job Alert emails"
﻿jsdb.imageContentTwo,"Showcase your unique brand values to make your job ad look more professional"
﻿jsdb.imageContentThree,"Job alert emails"
﻿jsdb.imageContentFour,"jobsDB.com on desktop"
﻿jsdb.imageContentFive,"Mobile"
﻿jsdb.promotion,"Promotion"
﻿jsdb.recommended,"Recommended"
﻿jsdb.thfaq.brandedAndPremiumAd,"brandedAD+ and Premium Ad"
﻿jsdb.thfaq.brandedAdPlusName,"brandedAD+"
﻿jsdb.thfaq.brandedAdsPlusName,"brandedAD+"
﻿jsdb.thfaq.brandedAdPlusSellingTitle,"Including Branded ad features, plus:"
﻿jsdb.thfaq.brandedAdPlusSellingPointOne,"Increase brand recognition using your company logo."
﻿jsdb.thfaq.brandedAdPlusSellingPointTwo,"Promote your employer  brand with 3 selling points."
﻿jsdb.thfaq.brandedAdPlusSellingPointThree,"Stand out with a personalised cover image."
﻿jsdb.thfaq.premiumAdSellingTitle,"Including Premium ad features, plus:"
﻿jsdb.thfaq.premiumAdSellingPointOne,"30-day money back guarantee."
﻿jsdb.thfaq.premiumAdSellingPointTwo,"Dedicated ad consultant."
﻿jsdb.thfaq.premiumAdSellingPointThree,"Personalised job ad writing."
﻿jsdb.thfaq.premiumAdSellingPointFour,"2 hour response time for queries."
﻿jsdb.thfaq.selectPackageBrandedTitle,"How many brandedAD+ do you want to purchase?"
﻿jsdb.thfaq.wantBuyMore,"Want to buy more?"
﻿jsdb.thfaq.contactUs,"Then contact us to order a bigger package."
﻿jsdb.thfaq.contactEmail,"Email: "
﻿jsdb.thfaq.contactTel,"Tel: "
﻿jsdb.thfaq.imageContentOne,"Show your logo on your job ad plus in job search listing and Job Alert emails"
﻿jsdb.thfaq.imageContentTwo,"Showcase your unique brand values to make your job ad look more professional"
﻿jsdb.thfaq.imageContentThree,"Job alert emails"
﻿jsdb.thfaq.imageContentFour,"jobsDB.com on desktop"
﻿jsdb.thfaq.imageContentFive,"Mobile"
﻿jsdb.thfaq.promotion,"Promotion"
﻿jsdb.thfaq.recommended,"Recommended"
﻿jsdb.thfaq.thfaq.one.title,"Q1. ฉันสามารถซื้อเครดิตเพื่อลงประกาศงานได้อย่างไร?"
﻿jsdb.thfaq.thfaq.one.stepOne.contentOne,"1. จาก Recruitment Centre dashboard คลิกที่เมนู "
﻿jsdb.thfaq.thfaq.one.stepOne.contentBlod,"ซื้อแพ็กเกจ"
﻿jsdb.thfaq.thfaq.one.stepOne.contentTwo," ด้านบน"
﻿jsdb.thfaq.thfaq.one.stepTwo.contentOne,"2. เลือกแพ็กเกจที่คุณต้องการจากเมนู. คลิกที่ "
﻿jsdb.thfaq.thfaq.one.stepTwo.contentBlod,"ซื้อทันที."
﻿jsdb.thfaq.thfaq.two.title,"Q2. ฉันสามารถใช้บัตรเครดิตเพื่อทำการชำระค่าแพ็กเกจ JobsDB ได้อย่างไร?"
﻿jsdb.thfaq.thfaq.two.subTitle,"ชำระเงินโดยใช้บัตรเครดิตวีซ่า,มาสเตอร์การ์ด หรือ อเมริกัน เอ็กซ์เพรส กรุณาทำตามขั้นตอนด้านล่าง:"
﻿jsdb.thfaq.thfaq.two.stepOne.contentOne,"1. เลือก "
﻿jsdb.thfaq.thfaq.two.stepOne.contentBlod,"ชำระเงินผ่านออนไลน์"
﻿jsdb.thfaq.thfaq.two.stepTwo.contentOne,"2. เลือก "
﻿jsdb.thfaq.thfaq.two.stepTwo.contentBlod,"บัตรเครดิตวีซ่า, มาสเตอร์การ์ด"
﻿jsdb.thfaq.thfaq.two.stepTwo.contentTwo," หรือ "
﻿jsdb.thfaq.thfaq.two.stepTwo.contentBlodTwo,"อเมริกัน เอ็กซ์เพรส"
﻿jsdb.thfaq.thfaq.two.stepThree.contentOne,"3. กรอกข้อมูลของท่าน เช่น หมายเลขบัตร, วันหมดอายุของบัตร, ชื่อที่ปรากฏบนบัตร และหมายเลข3. ยืนยันบัตร"
﻿jsdb.thfaq.thfaq.two.stepFour.contentOne,"4. คลิก "
﻿jsdb.thfaq.thfaq.two.stepFour.contentBlod,"ยืนยัน"
﻿jsdb.thfaq.thfaq.two.stepFive.contentOne,"5. การทำธุรกรรมสำเร็จ"
﻿jsdb.thfaq.thfaq.three.title,"Q3. ฉันสามารถโอนเงินเพื่อทำการชำระค่าแพ็กเกจ JobsDB ได้อย่างไร?"
﻿jsdb.thfaq.thfaq.three.subTitle,"คุณสามารถดำเนินการชำระเงินผ่านธนาคาร/เครื่อง ATM ได้, โดยทำตามคำแนะนำทีละขั้นตอนดังนี้ คลิานล่าง:"
﻿jsdb.thfaq.thfaq.three.stepOne.contentOne,"1. เลือกธนาคารที่ท่านต้องการ โดยคลิกที่โลโก้"
﻿jsdb.thfaq.thfaq.three.stepTwo.contentOne,"2. ทำตามคำแนะนำ"
﻿jsdb.thfaq.thfaq.three.stepThree.contentOne,"3. เลือกชำระไปที่ "
﻿jsdb.thfaq.thfaq.three.stepThree.contentBlod,"บริษัท จัดหางานจ๊อบส์ ดีบี (ประเทศไทย) จำกัด"
﻿jsdb.thfaq.thfaq.three.stepFour.contentOne,"4. กรอกเลขที่บัญชีธนาคารตามรายละเอียดด้านล่าง "
﻿jsdb.thfaq.thfaq.three.stepFive.contentOne,"5. หลังจากชำระเงินเรียบร้อยแล้ว กรุณาแฟกซ์ ใบนำฝากและหลักฐานการชำระเงิน พร้อมระบุชื่อบริษัทของท่าน มาที่ "
﻿jsdb.thfaq.thfaq.three.stepFive.contentTwo,"02-667-0711."
﻿jsdb.thfaq.thfaq.four.title,"Q4. ฉันจำเป็นต้องส่งหลักฐานการชำระเงินให้กับ JobsDB เพื่อเปิดใช้งานแพ็กเกจ หลังจากทำการโอนเงินผ่านธนาคารหรือเครื่อง ATM หรือไม่?"
﻿jsdb.thfaq.thfaq.four.subTitle,"หลังจากชำระเงินเรียบร้อยแล้ว กรุณาแฟกซ์ ใบนำฝากและหลักฐานการชำระเงิน พร้อมระบุชื่อบริษัทของท่าน มาที่ 02-667-0711."
﻿jsdb.thfaq.thfaq.five.title,"Q5. ฉันสามารถใช้เช็คเพื่อทำการชำระค่าแพ็กเกจ JobsDB ได้อย่างไร?"
﻿jsdb.thfaq.thfaq.five.subTitle,"โปรดสั่งจ่ายเช็คขีดคร่อม “A/C PAYEE ONLY” to “บริษัท จัดหางานจ๊อบส์ ดีบี (ประเทศไทย) จำกัด” และกรุณาแฟกซ์ใบนำฝากและหลักฐานการชำระเงิน พร้อมระบุชื่อบริษัทของท่าน มาที่ 02-667-0711."
﻿jsdb.thfaq.thfaq.six.title,"Q6. ฉันสามารถแก้ไขรายละเอียดใบแจ้งหนี้ได้อย่างไร?"
﻿jsdb.thfaq.thfaq.six.stepOne.contentOne,"ต้องการเปลี่ยนแปลงผู้ติดต่อหลักสำหรับใบแจ้งหนี้:"
﻿jsdb.thfaq.thfaq.six.stepTwo.contentOne,"กรุณาส่งอีเมลมาที่ "
﻿jsdb.thfaq.thfaq.six.stepTwo.contentTwo," พร้อมระบุชื่อผู้ติดต่อหลัก ตำแหน่งงาน อีเมล และเบอร์ติดต่อ เราจะติดต่อกลับภายใน 1 วันทำการ"
﻿jsdb.thfaq.thfaq.six.stepThree.contentOne,"ต้องการเปลี่ยนแปลงที่อยู่สำหรับใบแจ้งหนี้:"
﻿jsdb.thfaq.thfaq.six.stepFour.contentOne,"กรุณาส่งอีเมลมาที่ "
﻿jsdb.thfaq.thfaq.six.stepFour.contentTwo," พร้อมหลักฐานการเปลี่ยนแปลงที่อยู่ เราจะติดต่อกลับภายใน 1 วันทำการ"
